"","income_group","inicio","fin","crecimiento"
"1","Low income",5.70714,24.1676666666667,323.463708033563
"2","Lower middle income",18.3004081632653,56.7070382978723,209.867614929492
"3","Upper middle income",38.142541509434,79.2040288461538,107.652730289522
"4","High income",73.4350465753425,91.6304609375,24.7775622277158
