Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;24/2/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;;
Germany;DEU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.126;0.25;0.435;0.464;0.923;1.84;3.05;6.71;9.88;20.8;302.163;316.509;48.82;55.9;64.73;68.71;72.16;75.16;78;79;82;81.27;82.35;84.17;861.937;875.898;841.652;843.942;870.371;881.345;898.129;914.306;916.298;924.764;93.5;;;
Djibouti;DJI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.016;0.0312;0.0829;0.0947;0.106;0.194501;0.343526;0.486972;0.62594;0.781317;0.953611;127.004;1.62;2.26;4;6.5;7;9.4;12.7;17;22.9;30.8;556.814;570.617;584.762;599.257;614.112;632.573;650.248;;;;
Dominica;DMA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.549;1.17;;2.93;2.93;881.484;132.452;184.249;236.204;303.196;385.436;393.982;402.745;41.16;42.02;47.45;48.6;49.8;51;57.5;65;67.03;696.197;;733.819;756.567;826.979;833.101;838.255;;;;
Denmark;DNK;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0973;0.194;0.387;0.578;1.34;3.83;5.71;11.4;22.7;30.6;391.724;429.575;64.25;76.26;80.93;82.74;86.65;85.03;85.02;86.84;88.72;89.81;92.26;946.297;959.935;963.305;969.678;970.994;973.192;980.464;965.491;988.659;978.601;987.756;997.692;;;
Dominican Republic;DOM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0172;0.075;0.143;0.234;1.1;370.469;442.939;682.373;789.839;886.555;114.832;148.449;17.66;20.82;27.72;31.4;38;42.32;45.9;49.58;542.158;638.709;675.712;74.822;797.155;816.173;85.243;815.127;846.161;910.022;;;
Algeria;DZA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000361;0.00177;0.00174;0.0103;0.0202;0.2;0.491706;0.646114;159.164;219.536;463.448;584.394;737.598;945.119;10.18;11.23;12.5;14.9;18.2;22.5;29.5;38.2;429.455;476.911;490.385;557.907;634.727;722.124;748.319;769.081;;;;
East Asia & Pacific (excluding high income);EAP;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.3;10.1;14.3;19.2;23.7;28.9;32.3;35.7;38.2;40.6;43.5;49.6;53.9;59.1;64;72.2;77.6;81.6;84.2;86.1;88.1;;
Early-demographic dividend;EAR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
East Asia & Pacific;EAS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.7;16.6;20.8;25.2;29.5;34.2;37.3;40.4;43.2;45.5;48.3;53.9;57.8;62.5;67.1;73.9;78.8;82.4;84.9;86.6;88.4;;
Europe & Central Asia (excluding high income);ECA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.9;11.6;16.3;20.6;25;30.1;34.9;39.4;43.2;48.6;51.9;56.2;60.6;65.8;70.3;74.5;79.1;82;84.6;85.8;87.5;;
Europe & Central Asia;ECS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.7;38;43.6;48.1;52.7;57;60.2;63.8;66.1;68.9;69.9;72.3;74.5;78.1;80.3;83.4;86.3;87.9;89.6;90.9;92.4;;
Ecuador;ECU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.00512;0.0164;0.0348;0.0438;0.0862;0.11;0.125;0.823;146.219;267.044;42.608;446.023;483.444;599.426;7.2;10.8;18.8;24.6;29.03;313.668;351.351;402.791;455.904;489.404;540.629;55.8;57.5;59.2;70.7;691.148;697.181;726.943;771.727;;;
Egypt; Arab Rep.;EGY;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.000976;0.00638;0.0313;0.0615;0.0905;0.148;0.29;0.641265;0.838946;2.72;403.789;11.92;12.75;13.66;16.03;18.01;20;21.6;25.6;26.4;29.4;338.946;378.194;412.481;449.502;469.243;572.829;719.142;72.056;721.981;726.899;;;
Euro area;EMU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;ERI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;0;0;0;0.00902;0.00877;0.0255;0.136712;0.157815;0.22709;;;;;0.41;0.47;0.54;0.61;0.7;0.8;0.9;0.99;108.373;117.712;2.5;5.3;11.2;143.494;183.844;187.092;200.104;;;;
Spain;ESP;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0129;0.0257;0.0768;0.128;0.28;0.381;1.33;2.8;4.36;7.09;13.625;181.487;20.39;39.93;44.01;47.88;50.37;55.11;59.6;62.4;65.8;67.09;69.81;71.635;761.867;786.896;805.613;846.022;861.072;907.187;932.056;938.975;944.855;954.456;957.575;;;
Estonia;EST;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.0655;0.301;1.16;2.78;3.53;5.71;10.8;14.5;28.577;315.275;41.52;45.32;53.2;61.45;63.51;66.19;70.58;72.5;74.1;76.5;783.899;800.043;842.415;884.097;872.402;881.025;89.357;902.289;890.583;909.797;915.202;931.834;92.238;;;
Ethiopia;ETH;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;1.75E-05;0.0017;0.00497;0.00966;0.0125;0.0152638;0.0371624;0.0724023;0.105812;0.155335;0.21966;0.310593;0.37;0.45;0.54;0.75;1.1;2.9;4.6;7.7;138.552;153.669;15.6;15.9;16;160.696;166.981;;;;;;
European Union;EUU;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fragile and conflict affected situations;FCS;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;3.1;4.3;5.3;6.7;8.2;9.7;11.6;13.5;15.6;17.9;20.4;22.5;25;26.6;29.6;32.3;34.8;36.1;37;38.5;;
Finland;FIN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.401;1.4;1.89;2.57;4.92;13.9;16.8;19.5;25.5;32.3;372.485;431.054;62.43;69.22;72.39;74.48;79.66;80.78;83.67;82.49;86.89;88.71;89.88;915.144;865.304;864.221;877.036;874.689;88.89;896.074;921.703;928.081;929.888;935.139;;;;
Fiji;FJI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.00668;0.00791;0.00912;0.0644;0.223;0.633;0.942;149.685;185.798;615.265;672.543;741.294;845.364;960.004;108.978;13;17;20;28;337.424;35.2;37.4;42.5;49.42;536.474;582.364;632.179;686.256;744.958;782.433;793.485;;;;
France;FRA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0528;0.14;0.279;0.591;0.9;1.64;2.58;4.26;6.32;9.13;143.079;263.259;30.18;36.14;39.15;42.87;46.87;66.09;70.68;71.58;77.28;77.82;81.44;819.198;837.511;78.006;792.698;805.025;820.432;833.397;847.064;860.955;853.333;868.364;886.538;;;
Faroe Islands;FRO;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;2.32;4.6;11.3;22.3;329.164;43.247;532.992;589.126;665.336;679.026;693.594;75.98;75.57;75.18;75.2;807.322;853.352;90;93.3;94.2;951.087;97.582;;;;;;;;;;
Micronesia; Fed. Sts.;FSM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.278;0.571;1.86;2.8;373.486;466.053;55.701;92.325;110.179;118.814;127.503;136.211;14.49;15.35;20;22.8;259.744;27.8;29.65;315.011;333.522;353.041;36.6;38;393.833;;;;;;
Gabon;GAB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;0.048;0.17;0.249;121.614;134.762;193.953;265.959;297.907;489.326;54.892;5.767;7.5;9.5;13;18;24;30.538;380.712;457.845;480.523;516.049;554.202;595.176;639.179;686.436;707.069;719.256;;;;
United Kingdom;GBR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0874;0.174;0.261;0.52;1.04;1.9;4.12;7.39;13.7;21.3;268.218;334.811;56.48;64.82;65.61;70;68.82;75.09;78.39;83.56;85;85.38;87.48;898.441;916.133;920.003;947.758;904.246;90.692;925.166;948.182;961.965;962.989;962.988;;;;
Georgia;GEO;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0118;0.0401;0.0609;0.103;0.416;0.484746;0.992344;158.788;255.882;388.622;607.946;752.688;8.26;10.01;20.07;26.9;31.52;36.94;43.3;491.025;475.698;584.593;597.055;627.179;688.467;725.316;764.427;787.113;818.843;;;;
Ghana;GHA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.000348;0.00565;0.0275;0.0322;0.105;0.153615;0.200008;0.830284;119.306;17.168;18.312;272.318;3.85;4.27;5.44;7.8;9;10.6;15;19;23;28;378.842;43;220.732;625.176;68.6;693.607;699.445;;;;
Gibraltar;GIB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;2.66;4.18;5.94;191.316;211.711;236.702;283.258;328.861;390.701;452.986;51.61;58;65.07;65;65;65.017;;;;944.445;;;;;;;;;;;
Guinea;GIN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000138;0.000669;0.00195;0.0038;0.0062;0.0608;0.0954249;0.175542;0.402023;0.45096;0.508819;0.542254;0.637492;0.780025;0.92;0.94;1;2;3.1;4.5;6.4;9.2;13.1;18.7;21.83;226.255;234.499;243.044;246.954;265.014;;;;
Gambia; The;GMB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.00922;0.0355;0.0513;0.206;0.716;0.921795;133.679;179.678;243.678;3.308;3.799;523.769;620.504;6.88;7.63;9.2;108.703;124.492;14;15.56;17.6;19.9;22.5;28.3;311.183;342.172;376.247;440.389;459.137;;;
Guinea-Bissau;GNB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.0164;0.0241;0.118;0.230103;0.299569;102.299;13.542;180.814;190.137;20.572;22.063;235.489;230.328;2.45;2.672;289.399;3.1;3.32;6.1;13.8;14.8;15.7;179.215;204.573;233.519;275.672;324.661;;;;
Equatorial Guinea;GNQ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.0415;0.0944;0.0974;0.132355;0.16526;0.321198;0.520524;0.84393;114.979;127.919;155.712;1.82;2.13;6;11.5;139.432;16.4;18.86;21.32;23.78;26.24;;491.337;550.013;587.173;593.433;603.661;;;;
Greece;GRC;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.0488;0.0483;0.191;0.378;0.75;1.4;1.85;3.22;6.88;913.884;10.935;14.67;17.8;21.42;24;32.25;35.88;38.2;42.4;44.4;51.65;55.07;598.663;632.073;66.835;690.879;69.893;722.384;756.712;781.158;784.943;831.707;850.102;862.697;;;
Grenada;GRD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0.298;0.991;1.48;2.47;406.391;51.281;147.588;186.452;195.706;204.878;21.396;22.29;23.18;24.05;27;30;32;35;51.6;52.5;53.3;54.2;61.4;643.128;673.637;705.594;742.689;741.201;;;;
Greenland;GRL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.0647;0.0539;1.8;7.95;14.7;21.6;317.478;354.641;441.548;545.343;56.099;577.034;593.617;61.07;62.82;62.83;63;64;64.896;65.8;66.7;676.004;685.009;694.825;;;;;;;;;;
Guatemala;GTM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.003;0.0195;0.0955;0.467;0.593;0.712333;17.382;339.175;454.885;5.1;5.7;6.5;7.3;8.3;9.3;10.5;12.3;16;19.7;23.4;288.059;345.093;37.9;41.5;44.401;475.123;508.416;554.086;560.535;;;;
Guam;GUM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.348;0.66;1.36;2.34;4.5;8.5;161.131;253.802;311.923;337.167;361.618;385.599;438.514;461.505;484.187;50.642;54.04;57.7;615.342;65.4;69.27;73.14;77.01;805.055;;;;;;;;;;
Guyana;GUY;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.0659;0.132;0.264;0.4;0.6;1;1.5;2.4;3.7;5.7;8.9;13.8;18.2;23.9;29.9;30;30.5;31;32;34;35.66;42.7;485.989;553.127;62.954;716.509;783.924;817.221;;;;
High income;HIC;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.9;55.7;61.3;64;66.4;69;70.4;73.7;75.1;77;78.3;82.5;84.2;86.3;87.5;88.4;90;91;91.9;93;94.2;;
Hong Kong SAR; China;HKG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.121;0.85;1.33;2.78;3.22;4.75;10.5;14.5;21.2;278.278;386.714;430.824;52.2;563.999;56.9;60.8;64.8;66.7;69.4;72;72.2;72.9;74.2;798.663;849.484;874.794;894.159;905.074;917.434;924.131;930.872;956.136;959.778;;;
Honduras;HND;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0368;0.0437;0.171;0.301;0.574;120.386;141.528;25.974;4.8;5.6;6.5;7.8;9.4;9.6;9.8;11.09;15.9;18.12;17.8;23;271.395;295.282;317.358;360.401;393.884;452.483;519.516;563.896;582.789;;;;
Heavily indebted poor countries (HIPC);HPC;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Croatia;HRV;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.0972;0.268;0.514;0.859;1.73;3.27;4.41;664.488;115.586;17.76;22.75;30.91;33.14;37.98;41.44;44.24;50.58;56.55;57.79;61.94;667.476;685.679;69.845;726.973;670.962;752.946;790.798;783.209;81.254;820.716;832.412;836.324;;;
Haiti;HTI;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0.00748;;0.024;0.0707;0.231271;0.340832;0.893433;164.736;540.126;63.762;6.796;7.2;7.6;8.1;8.37;9;9.8;10.6;11.4;14.2;22.8;27.2;324.736;39.262;;;;;;;;
Hungary;HUN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.00338;0.0484;0.193;0.484;0.677;0.969;1.94;3.89;5.86;699.968;145.286;16.67;21.63;27.74;38.97;47.06;53.3;61;62;65;68.02;70.58;726.439;756.532;728.347;792.594;767.505;760.744;803.717;847.712;886.408;891.428;914.501;93.779;;;
IBRD only;IBD;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.7;10.5;13.7;17.1;20.7;25;28.5;31.5;34;36.4;39.1;43.2;46.6;50.3;56.3;65.4;70.3;74.4;77.3;79.9;82.7;;
IDA & IBRD total;IBT;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.2;8.7;11.3;14;16.9;20.3;23.2;25.7;27.8;30.1;32.8;36.4;39.5;42.9;47.8;55.1;59.3;63;65.5;67.7;70.3;;
IDA total;IDA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;2.8;3.7;4.2;4.9;5.9;6.8;7.9;9.4;11.6;14.2;16.9;19.2;22;24.2;27;29.8;32.8;34.5;36.4;38.9;;
IDA blend;IDB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.4;5.4;6.1;6.8;7.7;9.1;10.3;11.8;13.9;16.1;19;20.6;22.3;24.1;26.9;28.7;32.4;36.5;38.3;41.2;44.2;;
Indonesia;IDN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.00106;0.0261;0.0566;0.195;0.255;0.444;0.925564;201.861;213.414;238.702;260.029;360.202;476.481;578.627;791.748;6.92;10.92;12.28;14.52;14.94;171.432;220.627;254.474;323.358;399.046;476.906;537.265;621.045;664.846;692.084;727.808;;;
IDA only;IDX;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1.5;2.3;2.8;3.4;4.2;5;5.8;6.9;9;11.6;14.9;17.5;20.9;22.8;26;28.4;30.7;32.5;33.9;36.1;;
Isle of Man;IMN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.000111;0.000218;0.00107;0.0262;0.0463;0.0708;0.139;0.273;0.527532;0.660146;153.788;168.649;197.614;238.807;28.055;3.95;4.38;5.12;7.5;10.07;11.1;12.3;13.5;14.9;16.5;18.2;200.813;295.235;434.054;;55.9;;;70;;
Not classified;INX;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.0568;0.17;0.281;0.558;1.11;2.2;4.09;8.1;10.9;178.505;231.388;25.85;34.31;36.99;41.61;54.82;611.583;65.34;67.38;69.85;74.89;76.92;782.477;834.917;834.948;83.5;84.114;870.001;870.001;919.999;964.235;966.206;964.974;;;;
Iran; Islamic Rep.;IRN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000408;0.00418;0.0158;0.0468;0.0998;0.379;0.93419;148.422;462.618;693.372;7.49;8.1;8.76;9.47;12.02;13.8;15.9;19;22.73;29.95;393.536;45.335;532.268;64.044;702.006;724.509;755.699;785.957;79.061;796.309;;;
Iraq;IRQ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0.1;0.5;0.6;0.9;0.9;0.952344;0.93;1;1.06;2.5;5;7.1;9.2;116.453;15.2;19.9;49.36;33.9;443.263;536.778;650.022;787.156;817.291;;;;
Iceland;ISL;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.505;1.54;2.67;6.79;11.2;14.8;27.5;36.3;41.3;444.705;49.393;79.12;83.14;83.88;87;89.51;90.6;91;93;93.39;948.197;962.098;965.468;98.158;98.2;98.24;982.552;99.011;995.049;995.328;99.687;998.082;998.301;;;;
Israel;ISR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.111;0.215;0.311;0.399;0.577;0.93;2.17;4.4;10.3;13.4;208.738;173.786;177.646;195.934;227.705;25.194;278.811;481.281;59.39;63.12;67.5;688.739;70.8;702.503;750.178;773.521;796.531;815.812;837.332;867.879;901.273;902.969;918.508;870.384;881.824;;;
Italy;ITA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0175;0.0351;0.0701;0.122;0.192;0.524;1.02;2.28;4.56;14.4;231.109;272.221;28.04;29.04;33.24;35;37.99;40.79;44.53;48.83;53.68;54.39;55.83;584.593;556.385;581.417;613.243;630.773;743.872;678.507;704.834;748.623;850.607;870.278;892.207;;;
Jamaica;JAM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.0368;0.109;0.591;0.798;1.98;2.36;311.578;386.302;6.1;7.8;10;12.8;16.4;21.1;23.6;24.3;27.67;374.386;33.79;37.1;404.027;422.212;443.669;550.721;682.145;70.841;76.384;823.607;824.453;89.473;;;;
Jordan;JOR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.0232;0.0449;0.599;1.31;2.53;262.328;470.572;602.553;846.601;116.587;129.329;138.671;20;23;26;27.2;34.9;37;41.4;46.2;54.22;56.15;64.5;65.2;700.847;784.178;86;90.5;925.344;;;;
Japan;JPN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0203;0.0404;0.0967;0.401;0.8;1.59;4.37;9.16;13.4;21.4;299.907;385.321;465.942;484.353;623.939;669.211;686.853;74.3;75.4;78;78.21;790.541;794.964;882.194;891.068;91.058;931.827;917.265;887.464;927.304;902.195;829.141;849.234;869.815;;;;
Kazakhstan;KAZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0.000521;0.0113;0.0318;0.0646;0.131;0.464;0.668594;100.612;167.477;200.041;265.039;296.171;326.837;4.02;11;18.2;31.6;50.6;619.066;633.042;66;708.299;745.877;764.267;789.039;818.776;859.426;90.924;922.969;928.785;933.917;;;
Kenya;KEN;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.000727;0.00884;0.0344;0.0503;0.114;0.31806;0.619782;120.777;29.419;302.353;31.019;3.6;4.4;5.2;6.1;7.2;8.8;10.5;13;16.5;165.879;16.6;178.271;19.5;226.688;;;;35;349.762;;;
Kyrgyz Republic;KGZ;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0.0728;0.205;10.414;300.294;299.927;390.877;509.039;105.338;123.069;14.03;15.7;16;16.3;17.5;19.8;23;28.3;30.247;40.5;50.8;62.8;64.1;72;771.177;825.991;884.701;;;;
Cambodia;KHM;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.00584;0.0163;0.032;0.0470226;0.0769561;0.226983;0.26057;0.300437;0.317322;0.468357;0.49;0.51;0.53;1.26;3.1;4.94;6;14;643.319;323.985;329.003;;523.059;536.508;579.592;596.606;607.171;;;;
Kiribati;KIR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0.617;1.21;178.523;233.746;2.5;3;3.5;4;4.5;6;7;8.97;9.07;10;107.468;11.5;12.25;14.9;194.194;253.096;329.864;395.737;;;;88;;;;
St. Kitts and Nevis;KNA;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1.95;2.26;3.34;4.4;586.281;771.473;211.524;229.698;247.377;34;38.5;43.5;49.2;55.7;63;63.2;64;64.6;65.4;66.2;67;67.8;68.6;69.4;702.753;743.716;755.566;764.208;;;;
Korea; Rep.;KOR;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0233;0.0461;0.0984;0.25;0.311;0.82;1.62;3.6;6.78;23.6;44.7;56.6;59.4;65.5;72.7;73.5;78.1;78.8;81;81.6;83.7;837.591;84.07;84.77;875.568;898.963;92.843;950.694;960.229;961.576;965.051;975.713;971.686;97.416;978.956;;
Kuwait;KWT;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0.0911;0.147;0.203;0.856;2.17;3.05;4.76;67.314;855.179;10.249;224.029;229.271;259.261;287.912;34.8;42;50.8;61.4;657.691;70.45;75.46;78.7;82;85.6;98;995.988;995.427;991.059;99.7;997.237;997.473;;;;
